geolocation_zip_code_prefix,geolocation_state,geolocation_city,geolocation_lat,geolocation_lng
1136,SP,sao paulo,-23.52432454611428,-46.66049298346615
1137,SP,sao paulo,-23.522931433793335,-46.65355529331532
1138,SP,sao paulo,-23.522270681553255,-46.65490549847339
1139,SP,sao paulo,-23.52047138737019,-46.66629968880812
1140,SP,sao paulo,-23.52001493965306,-46.669527160383666
1141,SP,sao paulo,-23.52102562690111,-46.66776269199859
1142,SP,sao paulo,-23.51993430515264,-46.6251300217966
1144,SP,sao paulo,-23.523615960248648,-46.67229793593617
1150,SP,sao paulo,-23.532682921368107,-46.65874805994824
1151,SP,sao paulo,-23.5311425595146,-46.65681556586264
1152,SP,sao paulo,-23.530101947182605,-46.655964831308104
1153,SP,sao paulo,-23.531555695132827,-46.652390860397084
1154,SP,sao paulo,-23.530168255102904,-46.65940521405175
1155,SP,sao paulo,-23.529435956644615,-46.66258230222831
1156,SP,sao paulo,-23.529831613421983,-46.66480216284539
1189,SP,sao paulo,-23.53210825506378,-46.63839470107914
1200,SP,sao paulo,-23.531567773241413,-46.64986907784642
1201,SP,sao paulo,-23.53610422438886,-46.64967592234284
1202,SP,sao paulo,-23.534110722426565,-46.647941286364585
1203,SP,sao paulo,-23.535596152013277,-46.6455837417538
1204,SP,sao paulo,-23.536115643341596,-46.64401444349138
1205,SP,sao paulo,-23.53525792856986,-46.643651102488924
1206,SP,sao paulo,-23.53560919837815,-46.64303052601136
1207,SP,sao paulo,-23.53918927899999,-46.63864179303099
1208,SP,sao paulo,-23.53813295562946,-46.638809997297585
1209,SP,sao paulo,-23.5407217737808,-46.641502856685065
1210,SP,sao paulo,-23.53980597512167,-46.641798628793815
1211,SP,sao paulo,-23.537308487522797,-46.64934768623507
1212,SP,sao paulo,-23.538948663886455,-46.6394907502013
1213,SP,sao paulo,-23.536758588421268,-46.64064130343515
1214,SP,sao paulo,-23.538411042447198,-46.64462423537073
1215,SP,sao paulo,-23.536235567173204,-46.64762953648119
1216,SP,sao paulo,-23.5327267757385,-46.64703025505133
1217,SP,sao paulo,-23.53218127944088,-46.64840522297426
1218,SP,sao paulo,-23.5307799412937,-46.64752358517307
1219,SP,sao paulo,-23.54147475871608,-46.6454333931964
1220,SP,sao paulo,-23.544569550467557,-46.64614815434244
1221,SP,sao paulo,-23.544511550646625,-46.648171366857795
1222,SP,sao paulo,-23.54595306082289,-46.64948422644433
1223,SP,sao paulo,-23.544162932258487,-46.64913067770511
1224,SP,sao paulo,-23.54158572632947,-46.65225744475816
1225,SP,sao paulo,-23.539905018109025,-46.64915979883602
1226,SP,sao paulo,-23.538676755471805,-46.65296272615542
1227,SP,sao paulo,-23.549104382345654,-46.65960539111818
1228,SP,sao paulo,-23.54695188569534,-46.65738387484484
1229,SP,sao paulo,-23.53874004766933,-46.65739630767724
1230,SP,sao paulo,-23.536656999747624,-46.657660010193744
1231,SP,sao paulo,-23.53718384723794,-46.65922875975411
1232,SP,sao paulo,-23.536307598376276,-46.6581552920985
1233,SP,sao paulo,-23.536862800004325,-46.661881452582534
1234,SP,sao paulo,-23.538981991503295,-46.66405733603434
1235,SP,sao paulo,-23.537266568200575,-46.6650642595746
1236,SP,sao paulo,-23.54386498192979,-46.66750719706018
1237,SP,sao paulo,-23.543300511167462,-46.6687558682218
1238,SP,sao paulo,-23.542646948495662,-46.65447095013924
1239,SP,sao paulo,-23.546017285295996,-46.64780913183334
1240,SP,sao paulo,-23.543622305586943,-46.65898101666968
1241,SP,sao paulo,-23.54543841163977,-46.65798675014666
1242,SP,sao paulo,-23.546330752349018,-46.6590146628787
1243,SP,sao paulo,-23.548189790553735,-46.65927138257235
1244,SP,sao paulo,-23.56580317220031,-46.65895824874389
1245,SP,sao paulo,-23.54977724718432,-46.66364066411289
1246,SP,sao paulo,-23.552902686423973,-46.66578836646661
1247,SP,sao paulo,-23.55063807285042,-46.66865580450115
1248,SP,sao paulo,-23.54777737656751,-46.668125620145425
1249,SP,sao paulo,-23.548828230361686,-46.67159962177562
1250,SP,sao paulo,-23.547629618153085,-46.67205128803162
1251,SP,sao paulo,-23.54849183191139,-46.675011982652464
1252,SP,sao paulo,-23.541762241727945,-46.67983781194653
1253,SP,sao paulo,-23.54492912635292,-46.679164692087
1254,SP,sao paulo,-23.54410454899899,-46.68008272173887
1255,SP,sao paulo,-23.546606527668732,-46.681476271485536
1256,SP,sao paulo,-23.54769704274337,-46.68297314757341
1257,SP,sao paulo,-23.543689902843013,-46.687628677117
1258,SP,sao paulo,-23.543922073758903,-46.68640619940932
1259,SP,sao paulo,-23.54116453128879,-46.68575563708778
1262,SP,sao paulo,-23.550856391462712,-46.67735184892536
1290,SP,sao paulo,-23.54096134139296,-46.657748702752585
1301,SP,sao paulo,-23.5494038137445,-46.650828162960416
1302,SP,sao paulo,-23.550483823683425,-46.65340663505252
1303,SP,sao paulo,-23.54933502451795,-46.648887388893804
1304,SP,sao paulo,-23.554147503027984,-46.65523616010286
1305,SP,sao paulo,-23.55337036435308,-46.653879939402174
1306,SP,sao paulo,-23.55507338888326,-46.65069266804042
1307,SP,sao paulo,-23.552145475592447,-46.653571477354255
1308,SP,sao paulo,-23.556023282823983,-46.65324617182893
1309,SP,sao paulo,-23.555328566384976,-46.658529164215
1310,SP,sao paulo,-23.561105936599553,-46.65664324344697
1311,SP,sao paulo,-23.56415696686186,-46.65278496802591
1312,SP,sao paulo,-23.5546249190881,-46.64959300243556
1313,SP,sao paulo,-23.555887173885306,-46.65028909100723
1314,SP,sao paulo,-23.55330689169161,-46.645917718422496
1315,SP,sao paulo,-23.55365141770898,-46.64054092646048
1316,SP,sao paulo,-23.553030021611942,-46.639251954340715
1317,SP,sao paulo,-23.55857234475333,-46.641610661080314
1318,SP,sao paulo,-23.562510776719666,-46.64322902422031
1319,SP,sao paulo,-23.5522505497666,-46.64103143237238
1320,SP,sao paulo,-23.557871104812612,-46.639314823606334
1321,SP,sao paulo,-23.56149424176276,-46.641759069383696
1322,SP,sao paulo,-23.563256383654284,-46.643568502280374
1323,SP,sao paulo,-23.565851690336824,-46.64143617338013
1324,SP,sao paulo,-23.556493101789023,-46.643129957399495
1325,SP,sao paulo,-23.557279391968034,-46.64445700069747
1326,SP,sao paulo,-23.556642892584797,-46.64527068216382
1327,SP,sao paulo,-23.56394087731805,-46.64520249388566
1328,SP,sao paulo,-23.556521507369716,-46.646950035467526
1329,SP,sao paulo,-23.56138657330967,-46.64723821448342
1330,SP,sao paulo,-23.559001893446474,-46.649412956054945
1331,SP,sao paulo,-23.56230254246311,-46.650073023164005
1332,SP,sao paulo,-23.55976888362499,-46.65256183025303
1333,SP,sao paulo,-23.566244633372765,-46.64769498883553
1401,SP,sao paulo,-23.576949224970637,-46.660065330864214
1402,SP,sao paulo,-23.578211167638862,-46.661431325997654
1403,SP,sao paulo,-23.569024604820523,-46.65362557392279
1404,SP,sao paulo,-23.569073016826458,-46.65629899818542
1405,SP,sao paulo,-23.564946254958972,-46.6552855322693
1406,SP,sao paulo,-23.574437007517226,-46.66958930759094
1407,SP,sao paulo,-23.575858031847446,-46.67104994538771
1408,SP,sao paulo,-23.56745318653212,-46.661165221660816
1409,SP,sao paulo,-23.562816416670174,-46.65966607724275
1410,SP,sao paulo,-23.56407676690007,-46.662225399695366
1411,SP,sao paulo,-23.56482589342703,-46.664446946937
1412,SP,sao paulo,-23.563432785057458,-46.66579860353516
1413,SP,sao paulo,-23.56259136518938,-46.6648415451506
1414,SP,sao paulo,-23.560364961404993,-46.66429679107603
1415,SP,sao paulo,-23.557146756541673,-46.661308887622184
1416,SP,sao paulo,-23.561488443541396,-46.667674153793776
1417,SP,sao paulo,-23.551272238287172,-46.621013756449194
1418,SP,sao paulo,-23.56642018738509,-46.65236226757394
1419,SP,sao paulo,-23.563445268864825,-46.656055625484726
1420,SP,sao paulo,-23.563636859848774,-46.657618255341426
1421,SP,sao paulo,-23.562967713039242,-46.66060772462947
1422,SP,sao paulo,-23.563787174366677,-46.66133579290449
1423,SP,sao paulo,-23.56908621162518,-46.657492718323994
1424,SP,sao paulo,-23.567604696444477,-46.66183521026972
1425,SP,sao paulo,-23.5728121300093,-46.65918815731904
1426,SP,sao paulo,-23.565447162835685,-46.66653675243439
1427,SP,sao paulo,-23.570887292890138,-46.66424298403767
1428,SP,sao paulo,-23.57388645298505,-46.66249529865479
1429,SP,sao paulo,-23.57673120128429,-46.6627640088644
1430,SP,sao paulo,-23.660557407778327,-46.661754492940204
1431,SP,sao paulo,-23.634544623098908,-46.66369560512664
1432,SP,sao paulo,-23.576546426787797,-46.6657178615343
1433,SP,sao paulo,-23.578425238671983,-46.66820589972184
1434,SP,sao paulo,-23.575584236385183,-46.671512668029955
1435,SP,sao paulo,-23.579425608336457,-46.67005715050493
1436,SP,sao paulo,-23.57245538592821,-46.66798871616942
1437,SP,sao paulo,-23.5721412540443,-46.67150329618942
1438,SP,sao paulo,-23.569713527958854,-46.672178342215375
1439,SP,sao paulo,-23.566289488092035,-46.673571417782284
1440,SP,sao paulo,-23.568117450490668,-46.67811068937205
1441,SP,sao paulo,-23.572458830943827,-46.68608182274089
1442,SP,sao paulo,-23.56868596712947,-46.68123090484199
1443,SP,sao paulo,-23.568768648950357,-46.68481283234182
1444,SP,sao paulo,-23.573235541829785,-46.68752695447545
1445,SP,sao paulo,-23.571655927466296,-46.68791479123765
1446,SP,sao paulo,-23.57555631780954,-46.67578238597563
1447,SP,sao paulo,-23.57275772564232,-46.6788818281236
1448,SP,sao paulo,-23.57812823581146,-46.67963472470194
1449,SP,sao paulo,-23.57614288170371,-46.68002154630337
1450,SP,sao paulo,-23.576215482780096,-46.68528386733442
1451,SP,sao paulo,-23.57812552537493,-46.68652271094159
1452,SP,sao paulo,-23.57909616517779,-46.68910533032622
1453,SP,sao paulo,-23.5837264470317,-46.68612353030405
1454,SP,sao paulo,-23.582897586945453,-46.687393595767254
1455,SP,sao paulo,-23.580670917090277,-46.69106491544334
1456,SP,sao paulo,-23.576545388959108,-46.691165462965394
1457,SP,sao paulo,-23.57482962227416,-46.692950756714815
1472,SP,sao paulo,-23.57054369248079,-46.69129667943905
1489,SP,sao paulo,-23.57664998889148,-46.68740004775216
1501,SP,sao paulo,-23.55247546175458,-46.63553624295106
1502,SP,sao paulo,-23.55431316834063,-46.635372564569174
1503,SP,sao paulo,-23.55821127539473,-46.6370099216147
1504,SP,sao paulo,-23.56690948159975,-46.63948629698139
1505,SP,sao paulo,-23.555259945140122,-46.63187049993908
1506,SP,sao paulo,-23.55903891558514,-46.63507827091435
1507,SP,sao paulo,-23.558172259629455,-46.63188415944679
1508,SP,sao paulo,-23.561443171124377,-46.63620404170002
1509,SP,sao paulo,-23.566942181784697,-46.63569493393173
1510,SP,sao paulo,-23.557368063594748,-46.63355151014098
1511,SP,sao paulo,-23.561122321260598,-46.63311705491117
1512,SP,sao paulo,-23.55363924457354,-46.629684852181626
1513,SP,sao paulo,-23.548522160769153,-46.60450558904148
1514,SP,sao paulo,-23.555811453529813,-46.62904996806927
1516,SP,sao paulo,-23.55869058882502,-46.61654620830683
1517,SP,sao paulo,-23.559987904798337,-46.62439051996171
1518,SP,sao paulo,-23.55951703556794,-46.62366629632406
1519,SP,sao paulo,-23.56076878178993,-46.625589522767314
1520,SP,sao paulo,-23.560102558571653,-46.619680489866504
1521,SP,sao paulo,-23.56133992704631,-46.620151293972526
1522,SP,sao paulo,-23.56101161398575,-46.616649805947674
1523,SP,sao paulo,-23.564404345507793,-46.61698473276191
1524,SP,sao paulo,-23.569018536286514,-46.60908597280141
1525,SP,sao paulo,-23.56397525372097,-46.634767970158954
1526,SP,sao paulo,-23.565287951037202,-46.63114226419006
1527,SP,sao paulo,-23.56274336865101,-46.62842497752769
1528,SP,sao paulo,-23.56454188803043,-46.62682228617731
1529,SP,sao paulo,-23.5684249277149,-46.63454630384515
1530,SP,sao paulo,-23.569687718347403,-46.632093751374555
1531,SP,sao paulo,-23.57079819302374,-46.63241155311919
1532,SP,sao paulo,-23.571144266652006,-46.635802411697476
1533,SP,sao paulo,-23.57113733551163,-46.63818873492963
1534,SP,sao paulo,-23.568549366084177,-46.62647337656684
1535,SP,sao paulo,-23.572233825887963,-46.624965036447556
1536,SP,sao paulo,-23.570104003454237,-46.62355626084614
1537,SP,sao paulo,-23.57008323110438,-46.62223779095513
1538,SP,sao paulo,-23.579366303789612,-46.62433777489539
1539,SP,sao paulo,-23.570752756175924,-46.6205355723144
1540,SP,sao paulo,-23.56571130478636,-46.622904617040234
1541,SP,sao paulo,-23.569470408027517,-46.61850679769555
1542,SP,sao paulo,-23.570931505390554,-46.62459504585973
1543,SP,sao paulo,-23.571686763396478,-46.626309957901086
1544,SP,sao paulo,-23.577087821447005,-46.62190801622443
1545,SP,sao paulo,-23.58068192542041,-46.618468765135276
1546,SP,sao paulo,-23.579591640965926,-46.62196977541327
1547,SP,sao paulo,-23.582894774992642,-46.62118115690777
1548,SP,sao paulo,-23.57721191444206,-46.61343166861262
1549,SP,sao paulo,-23.57675955018583,-46.61594126544545
1550,SP,sao paulo,-23.57349710107979,-46.61629624436529
1551,SP,sao paulo,-23.572579199505903,-46.612491760515724
1552,SP,sao paulo,-23.570032553826202,-46.611636384308696
1553,SP,sao paulo,-23.574567143515047,-46.6089904532793
2009,SP,sao paulo,-23.515799103830265,-46.64113909097136
2010,SP,sao paulo,-23.508215428707754,-46.62632132467239
2011,SP,sao paulo,-23.505066983373275,-46.62688470622487
2012,SP,sao paulo,-23.511724294158434,-46.63116776409205
2013,SP,sao paulo,-23.50226202537397,-46.63295644462238
2016,SP,sao paulo,-23.506837705741205,-46.623259184259254
2017,SP,sao paulo,-23.500901123528585,-46.634956678270285
2018,SP,sao paulo,-23.49548628154953,-46.62979239496982
2019,SP,sao paulo,-23.498372362827343,-46.62979292973713
2020,SP,sao paulo,-23.496510316915717,-46.6329881652975
2021,SP,sao paulo,-23.498254675808017,-46.63531250998096
2022,SP,sao paulo,-23.50417688479073,-46.63860069641886
2028,SP,sao paulo,-23.508231522267653,-46.6178196596581
2029,SP,sao paulo,-23.50812876222054,-46.617990808773285
2030,SP,sao paulo,-23.505871338521406,-46.62468256911272
2031,SP,sao paulo,-23.51070749353329,-46.62592816602212
2032,SP,sao paulo,-23.51102345116144,-46.623839289370544
2033,SP,sao paulo,-23.499793019613193,-46.61471799820756
2034,SP,sao paulo,-23.503770572695476,-46.624063960907684
2035,SP,sao paulo,-23.496589946807156,-46.6229360117536
2036,SP,sao paulo,-23.501596334381915,-46.620804960582674
2037,SP,sao paulo,-23.499795775189384,-46.62044485593355
2038,SP,sao paulo,-23.495290408593,-46.623951112297505
2039,SP,sao paulo,-23.49294409664835,-46.62161697507858
2040,SP,sao paulo,-23.49004549484089,-46.6220240985973
2041,SP,sao paulo,-23.492053722270093,-46.624691933838925
2042,SP,sao paulo,-23.49436867952203,-46.61622927697678
2043,SP,sao paulo,-23.489981273374507,-46.6161391395808
2044,SP,sao paulo,-23.495934060581195,-46.61886540645183
2045,SP,sao paulo,-23.496060615084023,-46.61639620812608
2046,SP,sao paulo,-23.492800823446363,-46.61196703776643
2047,SP,sao paulo,-23.517709186245636,-46.61709040463799
2049,SP,sao paulo,-23.514166590335094,-46.61736559414439
2050,SP,sao paulo,-23.517044539494055,-46.612270096524824
2051,SP,sao paulo,-23.511241751000586,-46.608379345470865
2052,SP,sao paulo,-23.512974466155033,-46.607783784796915
2053,SP,sao paulo,-23.515518634357388,-46.604112574841835
2054,SP,sao paulo,-23.517369846463286,-46.607034772816725
2055,SP,sao paulo,-23.51445475954429,-46.60595737126863
2056,SP,sao paulo,-23.51255224686218,-46.602539457675704
2060,SP,sao paulo,-23.51877874145602,-46.60338678175761
2064,SP,sao paulo,-23.517708537829648,-46.59864900498296
2065,SP,sao paulo,-23.50817938198036,-46.60556661879995
2066,SP,sao paulo,-23.507801952422348,-46.60645902760689
2067,SP,sao paulo,-23.506943244164457,-46.60298261429731
2068,SP,sao paulo,-23.505725213508256,-46.61216521959188
2069,SP,sao paulo,-23.505810298548187,-46.61393750985342
2071,SP,sao paulo,-23.504667311613776,-46.60546916827984
2072,SP,sao paulo,-23.49997515679298,-46.60300016760347
2073,SP,sao paulo,-23.501799517463255,-46.60723347018064
2074,SP,sao paulo,-23.504964024565304,-46.600995494947085
2075,SP,sao paulo,-23.505409921319206,-46.60199466256844
2076,SP,sao paulo,-23.504383139161035,-46.599128767880934
2077,SP,sao paulo,-23.50253362839637,-46.5972196806123
2078,SP,sao paulo,-23.501978075266837,-46.59710488720885
2079,SP,sao paulo,-23.49912980609619,-46.60619115482191
2080,SP,sao paulo,-23.497670419903162,-46.605361571706716
2081,SP,sao paulo,-23.495841332603625,-46.60469932466566
2082,SP,sao paulo,-23.494533244311803,-46.60658139079434
2083,SP,sao paulo,-23.494924637741697,-46.598024993665405
2084,SP,sao paulo,-23.49730989439956,-46.59970886476793
2085,SP,sao paulo,-23.49766044813664,-46.6128047353366
2088,SP,sao paulo,-23.50424025971884,-46.620742066583865
2089,SP,sao paulo,-23.51709448459233,-46.616673100755904
2110,SP,sao paulo,-23.51825686943653,-46.59587170411424
2111,SP,sao paulo,-23.517600329739818,-46.5930111675956
2112,SP,sao paulo,-23.51834146276698,-46.59178154246265
2113,SP,sao paulo,-23.520194225466945,-46.591145389129835
2114,SP,sao paulo,-23.522463033153954,-46.590786534246845
2115,SP,sao paulo,-23.526692354675607,-46.59125623340243
2116,SP,sao paulo,-23.520516866355198,-46.585632494383184
2117,SP,sao paulo,-23.519378826555606,-46.5931884521926
2118,SP,sao paulo,-23.515231425815777,-46.59289098134813
2119,SP,sao paulo,-23.513258586093826,-46.59221592552742
2120,SP,sao paulo,-23.511168645720716,-46.59370336925803
2121,SP,sao paulo,-23.512449784468547,-46.58962767446314
2122,SP,sao paulo,-23.512044927816373,-46.58455529583313
2123,SP,sao paulo,-23.51187167314749,-46.579409310692114
2124,SP,sao paulo,-23.50700606444596,-46.576581843137284
2125,SP,sao paulo,-23.50983639872467,-46.58690112031853
2126,SP,sao paulo,-23.5070642369166,-46.591601192408675
2127,SP,sao paulo,-23.504177636893385,-46.58765228084025
2128,SP,sao paulo,-23.505025101525273,-46.59391286200018
2129,SP,sao paulo,-23.50374245468447,-46.58846429209968
2130,SP,sao paulo,-23.50827082050568,-46.5837756139323
2131,SP,sao paulo,-23.504117033676298,-46.58240724657103
2132,SP,sao paulo,-23.501219434010277,-46.57767414686465
2133,SP,sao paulo,-23.499359488595793,-46.58490425284727
2134,SP,sao paulo,-23.49861296409909,-46.579954919145344
2135,SP,sao paulo,-23.498029299353107,-46.58468649237066
2136,SP,sao paulo,-23.498404084815864,-46.581756065145605
2137,SP,sao paulo,-23.49795326926181,-46.57611869717361
2138,SP,sao paulo,-23.493507362221692,-46.57454591156251
2139,SP,sao paulo,-23.49046826593474,-46.57353020032567
2141,SP,sao paulo,-23.48892739133037,-46.570788948055736
2142,SP,sao paulo,-23.51019871070172,-46.576717815473344
2143,SP,sao paulo,-23.506776533629555,-46.57480504459384
2144,SP,sao paulo,-23.503483413343588,-46.57074387952696
2145,SP,sao paulo,-23.502141881153726,-46.56601770663338
2146,SP,sao paulo,-23.50095702331352,-46.57088226395057
2147,SP,sao paulo,-23.498361926574916,-46.565166700263546
2150,SP,sao paulo,-23.493812102797325,-46.56851470466655
2151,SP,sao paulo,-23.4970107543763,-46.569499892339785
2152,SP,sao paulo,-23.497220155451444,-46.57222725583233
2161,SP,sao paulo,-23.48975026663489,-46.569146076182456
2162,SP,sao paulo,-23.490739904686578,-46.56306087389807
2166,SP,sao paulo,-23.525214515169505,-46.58404671758702
2167,SP,sao paulo,-23.52121945155286,-46.58119081011805
2168,SP,sao paulo,-23.52042989230365,-46.57948109243975
2169,SP,sao paulo,-23.558296251433724,-46.634311200043456
2170,SP,sao paulo,-23.525745717863696,-46.57736660999708
2174,SP,sao paulo,-23.522888550065492,-46.57256074347353
2175,SP,sao paulo,-23.51560934543887,-46.57503636242286
2176,SP,sao paulo,-23.513621844513686,-46.573047612227846
2177,SP,sao paulo,-23.508426274843746,-46.557346650615955
2178,SP,sao paulo,-23.5214732129622,-46.570454874997075
2179,SP,sao paulo,-23.521951007334938,-46.56807648664708
2180,SP,sao paulo,-23.519022021064664,-46.56580697283551
2181,SP,sao paulo,-23.51937813474381,-46.56288441111537
2185,SP,sao paulo,-23.51492489198073,-46.56783520931117
2186,SP,sao paulo,-23.515069637575472,-46.56955853600637
2187,SP,sao paulo,-23.516118694979763,-46.56487718583202
2188,SP,sao paulo,-23.509310995361286,-46.56681953429596
2189,SP,sao paulo,-23.50781021417373,-46.567483539723874
2190,SP,sao paulo,-23.507141495348762,-46.5641381960874
2201,SP,sao paulo,-23.48615362068398,-46.5915966821028
2202,SP,sao paulo,-23.492969000837952,-46.594981119764334
2203,SP,sao paulo,-23.49185427102719,-46.59160890879165
2204,SP,sao paulo,-23.487393114202472,-46.59218106943223
2205,SP,sao paulo,-23.48754471538907,-46.590723731720075
2206,SP,sao paulo,-23.484477286466714,-46.59427917981942
2207,SP,sao paulo,-23.485995992524693,-46.58796395863663
2208,SP,sao paulo,-23.48312885876931,-46.58913928126476
2209,SP,sao paulo,-23.485335591675494,-46.58478833062843
2210,SP,sao paulo,-23.48317059516463,-46.58185782376172
2211,SP,sao paulo,-23.497420334842065,-46.59373846785861
2212,SP,sao paulo,-23.49545409807267,-46.589194330397135
2213,SP,sao paulo,-23.496549387752914,-46.588468666300734
2214,SP,sao paulo,-23.49273234597807,-46.586953640063854
2215,SP,sao paulo,-23.491053631248878,-46.58353920729148
2216,SP,sao paulo,-23.493017151771358,-46.57980265322542
2217,SP,sao paulo,-23.49042865178149,-46.58016391923537
2218,SP,sao paulo,-23.48675741517695,-46.5847746963798
2219,SP,sao paulo,-23.49137450663873,-46.58651791493432
2220,SP,sao paulo,-23.48998586636295,-46.57822899369592
2221,SP,sao paulo,-23.48277809587417,-46.58045961585072
2222,SP,sao paulo,-23.48236432466619,-46.575488395803276
2223,SP,sao paulo,-23.481810308948447,-46.58054823212915
2224,SP,sao paulo,-23.484332965162462,-46.57374570840187
2225,SP,sao paulo,-23.482736577265378,-46.575086503971164
2226,SP,sao paulo,-23.480555618991385,-46.57335799600646
2227,SP,sao paulo,-23.4787628913095,-46.57237250053729
2228,SP,sao paulo,-23.475079529795767,-46.57164634689812
2229,SP,sao paulo,-23.477035722751523,-46.56835472760497
2230,SP,sao paulo,-23.48376194941356,-46.56347187900093
2231,SP,sao paulo,-23.47564614294332,-46.56558172594988
2232,SP,sao paulo,-23.475479122709785,-46.56402170719008
2233,SP,sao paulo,-23.477622097936568,-46.56445962924338
2234,SP,sao paulo,-23.478893605476856,-46.56999236511598
2235,SP,sao paulo,-23.479703194605978,-46.577095510569144
2236,SP,sao paulo,-23.472535267561984,-46.568346423043174
2237,SP,sao paulo,-23.513120629647762,-46.58647209667304
2238,SP,sao paulo,-23.47094051651961,-46.5713951688741
2239,SP,sao paulo,-23.485651811479165,-46.609504004795504
2240,SP,sao paulo,-23.477885628196898,-46.602211847348045
2241,SP,sao paulo,-23.49055187372796,-46.60730651405304
